50.00,21.00,77.00,0.00,28.00,0.00,27.00,48.00,22.00,2.00
55.00,0.00,92.00,0.00,0.00,26.00,36.00,92.00,56.00,4.00
53.00,0.00,82.00,0.00,52.00,-5.00,29.00,30.00,2.00,1.00
37.00,0.00,76.00,0.00,28.00,18.00,40.00,48.00,8.00,1.00
37.00,0.00,79.00,0.00,34.00,-26.00,43.00,46.00,2.00,1.00
85.00,0.00,88.00,-4.00,6.00,1.00,3.00,83.00,80.00,5.00
56.00,0.00,81.00,0.00,-4.00,11.00,25.00,86.00,62.00,4.00
55.00,-1.00,95.00,-3.00,54.00,-4.00,40.00,41.00,2.00,1.00
53.00,8.00,77.00,0.00,28.00,0.00,23.00,48.00,24.00,4.00
37.00,0.00,101.00,-7.00,28.00,0.00,64.00,73.00,8.00,1.00
37.00,0.00,78.00,-2.00,12.00,0.00,42.00,65.00,24.00,1.00
45.00,0.00,84.00,0.00,46.00,20.00,38.00,37.00,0.00,1.00
38.00,2.00,77.00,0.00,38.00,7.00,39.00,38.00,0.00,1.00
37.00,0.00,78.00,0.00,-2.00,5.00,41.00,81.00,40.00,1.00
41.00,0.00,100.00,0.00,38.00,-8.00,59.00,61.00,2.00,1.00
41.00,0.00,89.00,1.00,38.00,-16.00,48.00,50.00,2.00,1.00
47.00,0.00,85.00,-2.00,46.00,-4.00,38.00,39.00,0.00,1.00
49.00,0.00,79.00,0.00,46.00,-5.00,30.00,32.00,2.00,1.00
49.00,3.00,82.00,0.00,50.00,4.00,33.00,33.00,0.00,1.00
37.00,-318.00,105.00,-2.00,36.00,-4.00,68.00,69.00,0.00,1.00
44.00,3.00,77.00,0.00,44.00,2.00,33.00,33.00,0.00,1.00
106.00,2.00,108.00,0.00,70.00,0.00,1.00,38.00,36.00,5.00
37.00,-5.00,76.00,0.00,28.00,0.00,40.00,48.00,8.00,1.00
49.00,0.00,100.00,0.00,50.00,19.00,52.00,51.00,0.00,1.00
45.00,-1.00,87.00,-2.00,44.00,-4.00,43.00,43.00,0.00,1.00
37.00,4.00,80.00,0.00,-2.00,0.00,43.00,83.00,40.00,1.00
55.00,-1.00,98.00,0.00,52.00,8.00,42.00,46.00,4.00,4.00
55.00,0.00,86.00,8.00,54.00,0.00,31.00,32.00,0.00,1.00
55.00,3.00,88.00,3.00,54.00,0.00,32.00,33.00,2.00,1.00
37.00,0.00,74.00,0.00,26.00,-1.00,38.00,48.00,10.00,1.00
37.00,0.00,106.00,0.00,36.00,3.00,68.00,69.00,2.00,1.00
49.00,0.00,107.00,0.00,46.00,-16.00,58.00,60.00,2.00,1.00
79.00,5.00,83.00,0.00,-46.00,0.00,4.00,130.00,126.00,5.00
51.00,0.00,79.00,0.00,52.00,29.00,28.00,27.00,0.00,1.00
59.00,4.00,84.00,0.00,60.00,24.00,25.00,24.00,0.00,1.00
37.00,0.00,108.00,0.00,30.00,-21.00,71.00,77.00,6.00,1.00
56.00,3.00,97.00,0.00,46.00,9.00,41.00,51.00,10.00,4.00
39.00,5.00,77.00,0.00,38.00,0.00,37.00,38.00,0.00,1.00
51.00,-5.00,81.00,0.00,52.00,0.00,30.00,30.00,0.00,1.00
49.00,0.00,77.00,0.00,46.00,-9.00,29.00,31.00,2.00,1.00
46.00,2.00,77.00,0.00,44.00,-19.00,32.00,34.00,2.00,1.00
56.00,0.00,81.00,0.00,56.00,0.00,24.00,24.00,0.00,1.00
56.00,0.00,79.00,0.00,16.00,3.00,23.00,63.00,40.00,4.00
37.00,0.00,105.00,0.00,34.00,4.00,68.00,71.00,4.00,1.00
76.00,0.00,81.00,-2.00,-40.00,13.00,5.00,122.00,118.00,5.00
56.00,0.00,80.00,0.00,56.00,7.00,24.00,23.00,0.00,1.00
41.00,2.00,76.00,0.00,42.00,11.00,35.00,35.00,0.00,1.00
41.00,1.00,85.00,0.00,38.00,0.00,44.00,46.00,2.00,1.00
56.00,-4.00,97.00,0.00,52.00,-2.00,41.00,45.00,4.00,4.00
49.00,0.00,95.00,1.00,50.00,2.00,46.00,46.00,0.00,1.00
37.00,2.00,76.00,0.00,36.00,0.00,38.00,39.00,2.00,1.00
56.00,1.00,99.00,0.00,50.00,16.00,42.00,49.00,8.00,4.00
56.00,-4.00,88.00,0.00,56.00,0.00,31.00,31.00,0.00,1.00
37.00,-3.00,81.00,-2.00,38.00,-9.00,43.00,42.00,0.00,1.00
47.00,0.00,84.00,4.00,46.00,0.00,38.00,38.00,0.00,1.00
41.00,1.00,86.00,2.00,42.00,14.00,45.00,45.00,0.00,1.00
53.00,3.00,81.00,0.00,54.00,0.00,27.00,26.00,0.00,1.00
47.00,5.00,79.00,0.00,46.00,0.00,32.00,32.00,0.00,1.00
104.00,7.00,105.00,7.00,70.00,0.00,1.00,35.00,34.00,5.00
101.00,-3.00,102.00,-4.00,72.00,0.00,1.00,29.00,28.00,5.00
45.00,0.00,86.00,0.00,44.00,-17.00,41.00,42.00,2.00,1.00
42.00,4.00,77.00,0.00,42.00,1.00,35.00,35.00,0.00,1.00
